Games,pass_completion,pass_attempts,pass_completion_percent,pass_yards,pass_td,rush_attempt,rush_yards,avg_rush_yard,rush_td,num_plays,total_yard,yard_per_play,pass_first_down,rush_first_down,penalty_first,first_downs,penalty,penalty_yards,lost_fumble,interceptions,turnovers,SRS,SOS,de_pass_completion,de_pass_attempts,de_pass_completion_percent,de_pass_yards,de_pass_td,de_rush_attempt,de_rush_yards,de_avg_rush_yard,de_rush_td,de_num_plays,de_total_yard,de_yard_per_play,de_pass_first_down,de_rush_first_down,de_penalty_first,de_first_downs,de_penalty,de_penalty_yards,de_lost_fumble,de_interceptions,de_turnovers,team_name
7,20.9,35.4,58.9,273.4,2.7,37.4,164.4,4.4,1.4,72.9,437.9,6.0,12.0,8.4,3.1,23.6,4.7,41.3,0.3,0.7,1.0,6.76,-4.24,17.3,30.0,57.6,172.6,1.3,37.1,113.0,3.0,0.6,67.1,285.6,4.3,8.6,6.4,2.0,17.0,6.9,67.4,0.1,0.6,0.7,southern-methodist
7,21.1,31.4,67.3,271.9,1.7,36.7,176.1,4.8,2.9,68.1,448.0,6.6,11.9,10.0,1.6,23.4,7.0,61.4,0.4,0.9,1.3,4.7,-3.16,15.3,26.7,57.2,198.1,1.4,34.7,114.3,3.3,0.9,61.4,312.4,5.1,7.7,5.9,2.0,15.6,5.9,52.4,0.9,0.9,1.7,south-alabama
7,24.7,35.0,70.6,298.7,1.9,31.7,93.7,3.0,1.4,66.7,392.4,5.9,11.9,5.6,1.9,19.3,7.0,50.7,0.4,0.7,1.1,-0.08,6.06,23.9,36.4,65.5,305.0,1.4,35.7,141.7,4.0,2.1,72.1,446.7,6.2,13.0,9.0,0.9,22.9,6.1,50.9,0.1,0.9,1.0,south-carolina
8,21.3,34.9,60.9,246.6,1.5,45.0,190.9,4.2,2.0,79.9,437.5,5.5,9.0,11.5,2.3,22.8,7.6,69.1,1.0,0.8,1.8,-6.01,-2.51,21.5,34.8,61.9,288.8,2.1,35.3,155.4,4.4,2.3,70.0,444.1,6.3,10.3,8.4,2.4,21.0,7.4,57.6,0.9,0.8,1.6,south-florida
7,16.7,32.1,52.0,189.9,1.0,36.4,136.6,3.7,1.0,68.6,326.4,4.8,8.6,7.9,2.9,19.3,6.3,44.0,0.4,0.9,1.3,-8.41,1.59,13.7,23.3,58.9,229.0,1.6,37.3,202.3,5.4,3.1,60.6,431.3,7.1,9.4,9.9,0.7,20.0,5.6,54.4,0.4,0.6,1.0,southern-mississippi
7,19.0,33.6,56.6,234.4,1.1,36.1,127.4,3.5,1.1,69.7,361.9,5.2,10.3,7.4,2.6,20.3,7.0,63.3,0.4,0.6,1.0,-7.1,2.33,26.4,38.0,69.5,315.9,2.7,33.4,150.0,4.5,2.1,71.4,465.9,6.5,14.4,9.9,1.4,25.7,8.1,73.9,0.0,0.4,0.4,stanford
7,18.7,30.7,60.9,232.1,1.6,38.3,167.0,4.4,1.9,69.0,399.1,5.8,10.1,8.3,2.3,20.7,7.0,65.0,0.7,1.0,1.7,3.92,2.35,23.0,37.0,62.2,255.7,1.3,37.0,125.0,3.4,1.4,74.0,380.7,5.1,10.6,7.4,2.6,20.6,6.4,63.6,0.9,0.9,1.7,syracuse
8,22.5,41.8,53.9,248.1,1.5,29.3,100.4,3.4,0.9,71.0,348.5,4.9,12.6,5.5,2.3,20.4,4.8,35.4,0.6,1.1,1.8,-15.1,-2.35,18.5,28.6,64.6,247.5,2.5,41.8,206.5,4.9,2.3,70.4,454.0,6.5,11.1,10.8,1.4,23.3,5.4,51.0,0.3,0.1,0.4,temple
7,20.3,32.6,62.3,220.9,1.7,39.1,217.3,5.6,1.9,71.7,438.1,6.1,10.1,10.6,0.7,21.4,8.0,67.1,0.6,0.6,1.1,11.94,2.51,20.6,31.6,65.2,201.0,0.9,36.3,109.9,3.0,1.1,67.9,310.9,4.6,8.4,6.0,2.3,16.7,5.4,40.7,0.4,1.0,1.4,tennessee
7,22.6,32.1,70.2,289.0,1.9,38.4,179.4,4.7,2.0,70.6,468.4,6.6,13.3,8.7,1.0,23.0,5.1,43.4,0.6,0.4,1.0,21.72,7.01,19.7,34.1,57.7,234.9,1.1,30.9,98.3,3.2,0.7,65.0,333.1,5.1,10.4,5.6,1.3,17.3,4.3,33.0,0.4,1.0,1.4,texas
